time,point
1577167918.7236762, [305,  319,  1721] 
1577167925.0945954, [303,  318,  1728] 
1577167925.1388752, [302,  318,  1725] 
1577167925.1836767, [302,  318,  1724] 
1577167925.229192, [302,  318,  1722] 
1577167925.2711997, [303,  318,  1745] 
1577167925.3148625, [303,  318,  1723] 
1577167925.3626397, [302,  318,  1721] 
1577167925.4077466, [302,  318,  1724] 
1577167925.4531953, [302,  318,  1724] 
1577167925.498674, [67,  440,  2415] 
1577167925.5439427, [1,  282,  2374] 
1577167925.5909278, [32,  288,  2392] 
1577167925.6355164, [303,  318,  1726] 
1577167925.680195, [302,  318,  1723] 
1577167925.7237537, [303,  318,  1725] 
1577167925.7689185, [303,  318,  1721] 
1577167925.8129036, [302,  318,  1714] 
1577167925.8544044, [303,  317,  1711] 
1577167925.897197, [65,  435,  2417] 
1577167925.9360344, [51,  280,  2417] 
1577167925.9754748, [22,  401,  2426] 
1577167926.0138385, [47,  292,  2407] 
1577167926.081302, [302,  317,  0] 
1577167926.1119847, [303,  318,  0] 
1577167926.1440847, [457,  477,  0] 
1577167926.1757953, [303,  318,  0] 
1577167926.2069414, [303,  318,  0] 
1577167926.2381206, [302,  318,  0] 
1577167926.2668283, [302,  318,  0] 
1577167926.358676, [303,  318,  155] 
1577167926.3870282, [302,  318,  0] 
1577167926.4149857, [302,  318,  0] 
1577167926.4437559, [302,  318,  0] 
1577167926.4766908, [438,  445,  0] 
1577167926.5064378, [302,  318,  0] 
1577167926.5336635, [302,  318,  0] 
1577167926.5617547, [302,  318,  0] 
1577167926.589578, [303,  318,  0] 
1577167926.6200905, [303,  318,  0] 
1577167926.6501505, [302,  318,  0] 
1577167926.6817193, [303,  317,  0] 
1577167926.7463994, [303,  318,  0] 
1577167926.7794402, [303,  317,  0] 
1577167926.8125172, [302,  318,  0] 
1577167926.846507, [303,  317,  1704] 
1577167926.8810248, [303,  318,  1706] 
1577167926.9164195, [303,  317,  1569] 
1577167926.9536922, [303,  318,  0] 
1577167926.9903536, [302,  318,  1693] 
1577167927.0652342, [302,  318,  1694] 
1577167927.1031334, [303,  318,  1701] 
1577167927.140605, [303,  318,  1699] 
1577167927.1780584, [83,  472,  0] 
1577167927.2163243, [75,  455,  0] 
1577167927.254596, [84,  456,  0] 
1577167927.2929592, [99,  454,  0] 
1577167927.3339434, [78,  414,  2432] 
1577167927.3725946, [127,  451,  0] 
1577167927.4126964, [115,  438,  0] 
1577167927.4520273, [108,  433,  0] 
1577167927.4917457, [88,  452,  0] 
1577167927.531032, [96,  431,  0] 
1577167927.5714207, [91,  457,  0] 
1577167927.607757, [57,  464,  0] 
1577167927.6454425, [304,  318,  1713] 
1577167927.6832607, [302,  318,  1699] 
1577167927.7209904, [302,  318,  1698] 
1577167927.761118, [302,  318,  1698] 
1577167927.799891, [302,  318,  1699] 
1577167927.8398466, [302,  318,  1701] 
1577167927.8791387, [302,  318,  1706] 
1577167927.918261, [302,  318,  1705] 
1577167927.957894, [303,  318,  1708] 
1577167927.9960017, [303,  318,  1708] 
1577167928.0356183, [302,  318,  0] 
1577167928.0749116, [303,  317,  0] 
1577167928.2234533, [239,  412,  2556] 
1577167928.2598763, [106,  201,  0] 
1577167928.2968009, [303,  319,  1732] 
1577167928.33785, [302,  318,  1703] 
1577167928.3772728, [303,  319,  1730] 
1577167928.4184294, [303,  318,  1704] 
1577167928.4622738, [302,  319,  1727] 
1577167928.5076797, [303,  318,  1707] 
1577167928.551404, [303,  318,  1709] 
1577167928.5940433, [302,  318,  1708] 
1577167928.6409748, [302,  318,  1705] 
1577167928.685958, [303,  319,  1740] 
1577167928.7302766, [303,  318,  1724] 
1577167928.776716, [302,  318,  1691] 
1577167928.8219154, [303,  318,  1698] 
1577167928.8678849, [303,  319,  1744] 
1577167928.9116786, [303,  319,  1724] 
1577167928.9548838, [302,  318,  1717] 
1577167928.997508, [303,  317,  1716] 
1577167929.037714, [302,  318,  1711] 
1577167929.0777612, [302,  318,  1673] 
1577167929.1204982, [302,  317,  1722] 
1577167929.1598957, [304,  317,  1710] 
1577167929.199156, [304,  316,  1648] 
1577167929.2372174, [305,  316,  1653] 
1577167929.27651, [254,  473,  2508] 
1577167929.3137057, [304,  315,  1646] 
1577167929.350531, [304,  316,  1659] 
1577167929.3865564, [265,  2,  0] 
1577167929.421449, [260,  4,  0] 
1577167929.4589927, [229,  2,  0] 
1577167929.496468, [207,  2,  0] 
1577167929.5342073, [185,  1,  0] 
1577167929.568375, [465,  471,  0] 
1577167929.636628, [367,  402,  2038] 
1577167929.6703494, [380,  436,  2193] 
1577167929.7048934, [370,  471,  2152] 
1577167929.8014154, [356,  469,  2312] 
1577167929.8372421, [280,  472,  2279] 
1577167929.9025273, [98,  131,  0] 
1577167929.9674356, [42,  347,  2485] 
1577167930.033188, [84,  349,  2435] 
1577167930.0687277, [49,  319,  0] 
1577167930.1011279, [18,  311,  0] 
